discipline,year,semester,weekday,time,room,,,,,,
Applied Mathematics,2018,Fall,Wednesday,4-5 PM,MATH 112,,,,,,
month, day, week_day, time, room, speaker,speaker_department,speaker_institution,speaker_url, speaker_image, title, abstract_file
September,5,Wednesday,4:00 PM,MATH 112,Chunmei Wang,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~chunmwan/,wang_square.jpg,Primal-Dual Weak Galerkin Finite Element Methods for PDEs,empty.txt
September,13,Thursday,3:30 PM,CHEM 113,Giorgio Bornia,Department of Mathematics and Statistics,Texas Tech University,http://www.math.ttu.edu/~gbornia/,giorgio_bornia.jpg,Numerical Aspects of Coupled Problems in Fluid Dynamics,empty.txt
September,19,Wednesday,4:00 PM,MATH 112,Davide Lauria,Department of Mathematics and Statistics,Texas Tech University,,lauria.jpg,Multistage Stochastic Programming for Mortality Swap Pricing,empty.txt
September,27,Thursday,3:30 PM,CHEM 113,Luan Hoang,Department of Mathematics and Statistics,Texas Tech University,,hoang.jpg,Analysis of the Navier-Stokes Systems and Generalized Forchheimer Flows,luan.txt
October,3,Wednesday,4:00 PM,MATH 112,Kevin Long,Department of Mathematics and Statistics,Texas Tech University,,long.jpg,Advanced scientific programming techniques illustrated with a code for simulating compressible fluid dynamics in galaxies (part I) ,empty.txt
October,4,Thursday,3:30 PM,CHEM 113,Xiaoqian Sun ,School of Mathematical and Statistical Sciences,Clemson University,,sun.jpg,On High-Dimensional Covariance Matrix Estimation and Hypothesis Testing (SIAM Colloquium),empty.txt
October,10,Wednesday,4:00 PM,MATH 112,Kevin Long,Department of Mathematics and Statistics,Texas Tech University,,long.jpg,Advanced scientific programming techniques illustrated with a code for simulating compressible fluid dynamics in galaxies (part II) ,empty.txt
October,16-18,Tuesday-Thursday,3:30 PM,CHEM 113,Daizhan Cheng,Key Laboratory of Systems and Control,Chinese Academy of Sciences,,DoubleT.jpg,Dayawansa Memorial Lecture Series,empty.txt
October,27,Saturday,08:00 AM,"Senate Room, Student Union Building",XVII Red Raider Minisymposium,Department of Mathematics and Statistics,Texas Tech University,https://www.depts.ttu.edu/math/department/calendar/conferences/redraider/past/2018/rrms2018.php,DoubleT.jpg,Current Trends in Numerical Analysis and Scientific Computing,empty.txt
October,31,Wednesday,4:00 PM,MATH 112,Amin Rahman,Department of Mathematics and Statistics,Texas Tech University,,rahman.jpg,Discrete Dynamical Models of Walking Droplets,empty.txt
November,7,Wednesday,4:00 PM,MATH 112,Dimitri Volchenkov,Department of Mathematics and Statistics,Texas Tech University,,volchenkov.jpg,À la recherche du temps perdu: A look at Stochastic Nonlinear Dynamics through a prism of Quantum Field Theory ,empty.txt
November,28,Wednesday,4:00 PM,MATH 112,Amin Rahman,Department of Mathematics and Statistics,Texas Tech University,,rahman.jpg,Simple transport-population models for drug distribution and tumor cell death,empty.txt
